Resource,Tika Format,Tika Format - no ext,Fidget Format,Fidget Format - no ext
"desktop-publishing/InDesign/Neddy_Flyer_ft_HeatherRyan.jpg","image/jpeg","image/jpeg","image/jpeg","image/jpeg"
"desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.indd","application/x-adobe-indesign","application/octet-stream","application/x-adobe-indesign","application/octet-stream"
"desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"desktop-publishing/InDesign/Neddy_Flyer_README_HeatherRyan.md.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.azw3","application/octet-stream","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.epub","application/epub+zip","application/epub+zip","application/epub+zip","application/epub+zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.fb2","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.htmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.lit","application/octet-stream","application/octet-stream","application/x-ms-reader","application/x-ms-reader"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.lrf","application/octet-stream","application/octet-stream","application/x-ext-lrf","application/x-ext-lrf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.mobi","application/x-mobipocket-ebook","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.opf","application/oebps-package+xml","application/xml","application/oebps-package+xml","application/xml"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pdb","chemical/x-pdb","application/octet-stream","application/x-pdb-textread-ebook","application/x-pdb-textread-ebook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.rb","text/x-ruby","application/octet-stream","application/x-rocketbook","application/x-rocketbook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.snb","application/octet-stream","application/octet-stream","application/x-snb-ebook","application/x-snb-ebook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.txt","text/plain","text/plain","text/plain","text/plain"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.txtz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.zip","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/create-variations.sh","application/x-sh","text/plain","application/x-sh","text/plain"
"ebooks/calibre%200.9.0/lorem-ipsum.azw3","application/octet-stream","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.9.0/lorem-ipsum.epub","application/epub+zip","application/epub+zip","application/epub+zip","application/epub+zip"
"ebooks/calibre%200.9.0/lorem-ipsum.fb2","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml"
"ebooks/calibre%200.9.0/lorem-ipsum.htmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/lorem-ipsum.lit","application/octet-stream","application/octet-stream","application/x-ms-reader","application/x-ms-reader"
"ebooks/calibre%200.9.0/lorem-ipsum.lrf","application/octet-stream","application/octet-stream","application/x-ext-lrf","application/x-ext-lrf"
"ebooks/calibre%200.9.0/lorem-ipsum.mobi","application/x-mobipocket-ebook","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.9.0/lorem-ipsum.pdb","chemical/x-pdb","application/octet-stream","application/x-pdb-textread-ebook","application/x-pdb-textread-ebook"
"ebooks/calibre%200.9.0/lorem-ipsum.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/calibre%200.9.0/lorem-ipsum.pmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/lorem-ipsum.rb","text/x-ruby","application/octet-stream","application/x-rocketbook","application/x-rocketbook"
"ebooks/calibre%200.9.0/lorem-ipsum.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
